importsequencenumber,icsba_isinterdivisionapplicable,icsba_requestoption,icsba_requestoptiontitle,icsba_requestoptionscreenname,icsba_requestoptionslkpid,statuscode,statecode,timezoneruleversionnumber,utcconversiontimezonecode,versionnumber,icsba_employeedivisiontypefk,owningbusinessunit,icsba_requestoptiontypefk
,FALSE,Div A Corporate - Higher Duties,Higher Duties,ScreenHigherDuties,8433a466-22ad-ef11-b8e8-000d3ae0cb61,1,0,,,24311439,b9b1e324-4283-4510-b63a-8f2ad6fbf370,d64cd96b-0633-ee11-bdf4-6045bd404393,542a1619-d245-43d9-ac48-99d754abef31
,TRUE,Div B Operational to Div A Operational - Higher Duties,Higher Duties,ScreenHigherDuties,7a33a466-22ad-ef11-b8e8-000d3ae0cb61,1,0,,,24311437,db08e797-5b10-4ec4-973b-87dabefd13ba,d64cd96b-0633-ee11-bdf4-6045bd404393,542a1619-d245-43d9-ac48-99d754abef31
,FALSE,Div B Corporate - Higher Duties,Higher Duties,ScreenHigherDuties,7433a466-22ad-ef11-b8e8-000d3ae0cb61,1,0,,,24311435,eef6da24-7172-4d4c-8d6a-1bc44b9368b9,d64cd96b-0633-ee11-bdf4-6045bd404393,542a1619-d245-43d9-ac48-99d754abef31
,FALSE,CFA - Higher Duties,Higher Duties,ScreenHigherDuties,7533a466-22ad-ef11-b8e8-000d3ae0cb61,1,0,,,24311433,b6d2ef91-8215-41ce-bf7b-33a685745982,d64cd96b-0633-ee11-bdf4-6045bd404393,542a1619-d245-43d9-ac48-99d754abef31
,FALSE,Other/Unsure - Higher Duties,Higher Duties,ScreenHigherDuties,a9433566-22ad-ef11-b8e9-000d3ae0985b,1,0,,,24311431,79d20951-fa22-4ec0-9218-3058f19a6fdc,d64cd96b-0633-ee11-bdf4-6045bd404393,542a1619-d245-43d9-ac48-99d754abef31
,TRUE,Div A Operational to Div B Operational- Higher Duties,Higher Duties,ScreenHigherDuties,a3433566-22ad-ef11-b8e9-000d3ae0985b,1,0,,,24311429,007bf3ba-55da-404e-8d2f-b823f0bfdc81,d64cd96b-0633-ee11-bdf4-6045bd404393,542a1619-d245-43d9-ac48-99d754abef31
,FALSE,CFA Secondment - Promotion,Promotion,ScreenPromotionCFA,7d33a466-22ad-ef11-b8e8-000d3ae0cb61,1,0,,,24304306,b6d2ef91-8215-41ce-bf7b-33a685745982,d64cd96b-0633-ee11-bdf4-6045bd404393,d3a27365-96a8-ef11-b8e8-000d3ae0cb61
,FALSE,CFA Secondment - Extension,Extension,ScreenExtensionCFA,7b33a466-22ad-ef11-b8e8-000d3ae0cb61,1,0,,,24304304,b6d2ef91-8215-41ce-bf7b-33a685745982,d64cd96b-0633-ee11-bdf4-6045bd404393,74989856-96a8-ef11-b8e8-000d3ae0cb61
,FALSE,CFA Secondment - Temporary Transfer,Temporary Transfer,ScreenTemporaryTransferCFA,7833a466-22ad-ef11-b8e8-000d3ae0cb61,1,0,,,24304303,b6d2ef91-8215-41ce-bf7b-33a685745982,d64cd96b-0633-ee11-bdf4-6045bd404393,e45a7941-96a8-ef11-b8e8-000d3ae0cb61
,FALSE,Div A Operational - Employee Cessation,Employee Cessation,ScreenEmployeeCessation,a5433566-22ad-ef11-b8e9-000d3ae0985b,1,0,,,24304287,007bf3ba-55da-404e-8d2f-b823f0bfdc81,d64cd96b-0633-ee11-bdf4-6045bd404393,b9145458-96a8-ef11-b8e9-000d3ae0985b
